ISO,Violentos_Africa,Violentos_Americas,Violentos_Asia,Violentos_Europa,Violentos
URY,10425.1214478985,6623.71082372443,18178.6114278225,11700.6850539422,11732.0321883469
USA,7824.2042307355,2444.04721851286,12133.1674462054,7061.64586217927,7365.76618940826
UZB,4984.76951452476,12926.3164654664,4011.17878227845,4222.00787020997,6536.06815811988
VAT,1001.71001056835,9296.21232577199,8341.81329325946,1045.31153923397,4921.26179220844
VCT,7783.42305087671,2682.08921456099,14827.8882308761,7978.13315358136,8317.8834124738
VEN,8465.5156591367,2220.56324366861,15191.1281735992,8609.09260878069,8621.5749212963
VGB,7809.10620164084,2234.30473740885,14329.8213899171,7798.30106330031,8042.88334806678
VNM,9009.70618646324,15503.1200602805,1893.40113754661,8277.47381001407,8670.92529857612
VUT,17021.3468601619,12302.4978507884,8335.62654698038,15707.9368562598,13341.8520285476
WSM,17835.2328820824,10139.4485009799,9753.71766792399,16000.0367701381,13432.1089552811
YEM,3681.98572561602,13346.7703502342,6905.10822801451,4554.30229585072,7122.04164992887
ZAF,6682.19486928197,13138.4408025198,10726.4629833253,8384.94633657757,9733.01124792615
ZMB,5582.84198968294,12950.2770798385,10118.7344375768,7258.23117838598,8977.52117137103
ZWE,5927.10067778804,13291.3596035099,10017.85965891,7570.92361368302,9201.81088847274
